Team Number,Scored Images,CCS Score
CCV-275,3,259
CCV-289,3,252
CCV-171,3,247
CCV-172,3,247
CCV-147,3,238
CCV-148,3,227
CCV-347,3,224
CCV-294,3,212
CCV-270,3,198
CCV-145,3,186
CCV-052,3,185
CCV-011,3,183
CCV-173,2,181
CCV-451,3,174
CCV-083,2,173
CCV-186,3,166
CCV-014,3,162
CCV-303,3,160
CCV-234,3,156
CCV-168,3,156
CCV-268,3,154
CCV-167,3,153
CCV-291,3,150
CCV-456,3,149
CCV-292,3,148
CCV-423,3,146
CCV-469,3,145
CCV-313,3,144
CCV-157,3,143
CCV-274,3,143
CCV-160,3,141
CCV-462,3,140
CCV-146,3,139
CCV-111,3,137
CCV-176,3,137
CCV-314,3,135
CCV-483,3,134
CCV-010,3,132
CCV-151,3,132
CCV-287,3,132
CCV-295,3,131
CCV-396,3,130
CCV-258,2,129
CCV-201,3,128
CCV-159,2,128
CCV-471,3,128
CCV-249,3,127
CCV-410,3,126
CCV-290,3,126
CCV-409,3,125
CCV-473,3,125
CCV-455,3,121
CCV-132,3,117
CCV-288,2,112
CCV-363,3,111
CCV-481,3,109
CCV-345,2,105
CCV-081,3,104
CCV-134,2,101
CCV-395,3,101
CCV-422,3,100
CCV-474,3,98
CCV-433,2,96
CCV-127,2,94
CCV-460,2,93
CCV-150,2,91
CCV-100,3,88
CCV-174,1,88
CCV-361,3,84
CCV-133,3,83
CCV-034,3,81
CCV-449,2,81
CCV-472,3,80
CCV-296,2,80
CCV-480,2,73
CCV-101,1,73
CCV-262,2,72
CCV-085,3,71
CCV-285,2,70
CCV-286,2,69
CCV-334,2,69
CCV-035,2,65
CCV-149,2,65
CCV-297,2,64
CCV-137,3,64
CCV-457,2,64
CCV-300,3,63
CCV-129,2,63
CCV-322,2,62
CCV-283,2,61
CCV-099,2,59
CCV-425,3,59
CCV-084,2,58
CCV-154,2,55
CCV-444,2,54
CCV-324,3,52
CCV-478,2,46
CCV-261,2,45
CCV-339,2,42
CCV-153,2,42
CCV-175,2,42
CCV-182,2,41
CCV-306,3,41
CCV-298,2,38
CCV-128,2,35
CCV-260,2,35
CCV-325,2,32
CCV-401,1,27
CCV-463,2,26
CCV-293,3,26
CCV-214,1,25
CCV-122,1,25
CCV-143,2,24
CCV-087,2,21
CCV-190,1,19
CCV-112,1,17
CCV-464,1,16
CCV-413,1,15
CCV-362,1,14
CCV-338,2,14
CCV-090,1,0
