Team Number,Scored Images,CCS Score
CCV-004,2,158
CCV-010,3,160
CCV-011,3,244
CCV-014,3,180
CCV-018,3,171
CCV-019,3,176
CCV-027,3,169
CCV-030,1,0
CCV-033,3,192
CCV-034,3,194
CCV-035,3,110
CCV-052,3,225
CCV-053,1,0
CCV-056,2,144
CCV-064,3,289
CCV-067,3,273
CCV-075,1,0
CCV-081,3,211
CCV-083,2,170
CCV-084,3,101
CCV-085,3,52
CCV-086,1,0
CCV-087,2,30
CCV-088,3,202
CCV-097,1,0
CCV-098,1,0
CCV-099,2,122
CCV-100,3,161
CCV-101,1,49
CCV-102,3,245
CCV-103,3,234
CCV-109,3,276
CCV-110,3,160
CCV-111,3,210
CCV-112,1,23
CCV-113,3,168
CCV-114,3,139
CCV-118,3,194
CCV-119,1,0
CCV-120,1,59
CCV-122,1,34
CCV-125,1,0
CCV-127,2,122
CCV-128,2,60
CCV-129,2,103
CCV-132,3,179
CCV-133,2,112
CCV-134,2,121
CCV-137,3,108
CCV-138,1,0
CCV-141,3,269
CCV-142,2,183
CCV-143,2,69
CCV-145,3,251
CCV-146,3,210
CCV-147,3,274
CCV-148,3,267
CCV-149,2,103
CCV-150,1,0
CCV-151,3,225
CCV-153,3,72
CCV-154,2,83
CCV-157,3,178
CCV-159,2,167
CCV-160,3,226
CCV-167,3,205
CCV-168,3,195
CCV-171,3,283
CCV-172,3,272
CCV-173,2,164
CCV-174,2,40
CCV-175,1,38
CCV-176,3,197
CCV-182,2,140
CCV-185,3,30
CCV-186,3,228
CCV-188,3,171
CCV-190,2,55
CCV-194,1,0
CCV-195,3,69
CCV-196,3,142
CCV-198,1,0
CCV-200,1,0
CCV-201,3,229
CCV-203,3,221
CCV-214,3,1
CCV-215,1,0
CCV-221,3,199
CCV-232,3,154
CCV-234,3,220
CCV-249,3,144
CCV-254,1,0
CCV-257,2,36
CCV-258,2,188
CCV-260,2,103
CCV-261,2,91
CCV-262,2,128
CCV-264,1,0
CCV-268,3,228
CCV-270,3,244
CCV-272,3,251
CCV-274,3,175
CCV-275,3,291
CCV-283,2,71
CCV-285,3,156
CCV-286,3,189
CCV-287,3,161
CCV-288,2,130
CCV-289,3,286
CCV-290,3,163
CCV-291,3,225
CCV-292,3,210
CCV-293,3,91
CCV-294,3,256
CCV-295,3,180
CCV-296,2,127
CCV-297,2,76
CCV-298,2,75
CCV-299,3,147
CCV-300,2,94
CCV-303,3,182
CCV-306,3,138
CCV-308,1,0
CCV-311,2,60
CCV-313,3,189
CCV-314,3,179
CCV-322,3,273
CCV-324,3,145
CCV-325,2,43
CCV-334,2,189
CCV-338,3,128
CCV-339,3,222
CCV-340,1,0
CCV-345,1,0
CCV-347,3,284
CCV-348,3,205
CCV-354,3,113
CCV-355,1,0
CCV-356,3,208
CCV-361,3,102
CCV-362,2,69
CCV-363,3,183
CCV-365,1,0
CCV-366,3,155
CCV-374,3,22
CCV-376,1,0
CCV-381,3,144
CCV-391,3,131
CCV-392,3,108
CCV-395,3,134
CCV-396,3,144
CCV-401,1,0
CCV-402,1,30
CCV-403,2,53
CCV-404,2,32
CCV-409,3,218
CCV-410,3,246
CCV-411,3,160
CCV-413,2,63
CCV-415,3,152
CCV-422,3,268
CCV-423,3,202
CCV-424,3,141
CCV-425,3,126
CCV-426,3,65
CCV-433,2,193
CCV-435,3,165
CCV-436,2,0
CCV-444,2,170
CCV-446,3,156
CCV-447,3,133
CCV-448,1,0
CCV-449,2,92
CCV-451,3,205
CCV-452,2,33
CCV-453,2,45
CCV-455,3,132
CCV-456,3,188
CCV-457,2,129
CCV-460,2,131
CCV-462,3,107
CCV-463,2,111
CCV-465,3,158
CCV-466,1,0
CCV-469,3,139
CCV-471,3,191
CCV-472,3,169
CCV-473,3,217
CCV-474,3,204
CCV-475,1,0
CCV-477,1,0
CCV-478,3,228
CCV-480,3,201
CCV-481,3,220
CCV-483,3,124
CCV-487,3,101
CCV-491,3,185
CCV-495,1,55
CCV-506,1,0
